Response,Breakdown type,Breakdown name,Estimate %,LCL %,UCL %,Age Standardised Estimate % [note 9],Age Standardised LCL % [note 9],Age Standardised UCL % [note 9],Unweighted Sample for Response Option,Weighted Sample for Response Option
Yes,Integrated Care Board,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",35.5,33.4,37.7,35.9,33.7,38.1,763,"323,142"
No,Integrated Care Board,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",64.4,62.3,66.6,64.1,61.9,66.3,"1,114","586,203"
Do not know,Integrated Care Board,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",[c],[c],[c],[c],[c],[c],[c],[c]
Prefer not to say,Integrated Care Board,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",[w],[w],[w],[w],[w],[w],[w],[w]
Yes,Integrated Care Board,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",37.4,35,39.8,37.4,35,39.8,658,"277,405"
No,Integrated Care Board,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",62.4,60,64.8,62.4,60,64.8,878,"462,562"
Do not know,Integrated Care Board,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",0.1,0,0.3,0.1,0,0.2,3,801
Prefer not to say,Integrated Care Board,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",[c],[c],[c],[c],[c],[c],[c],[c]
Yes,Integrated Care Board,NHS Birmingham and Solihull Integrated Care Board,40.2,37.4,43,41.5,38.7,44.4,491,"295,853"
No,Integrated Care Board,NHS Birmingham and Solihull Integrated Care Board,59.7,56.9,62.5,58.3,55.5,61.2,683,"438,915"
Do not know,Integrated Care Board,NHS Birmingham and Solihull Integrated Care Board,[c],[c],[c],[c],[c],[c],[c],[c]
Prefer not to say,Integrated Care Board,NHS Birmingham and Solihull Integrated Care Board,[c],[c],[c],[c],[c],[c],[c],[c]
Yes,Integrated Care Board,NHS Black Country Integrated Care Board,38.2,35.3,41.1,38.1,35.3,41,469,"217,681"
No,Integrated Care Board,NHS Black Country Integrated Care Board,61.7,58.8,64.6,61.7,58.8,64.6,618,"351,640"
Do not know,Integrated Care Board,NHS Black Country Integrated Care Board,[w],[w],[w],[w],[w],[w],[w],[w]
Prefer not to say,Integrated Care Board,NHS Black Country Integrated Care Board,0.1,0,0.4,0.1,0,0.4,3,838
Yes,Integrated Care Board,"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",39.9,37.4,42.4,42.5,39.9,45,602,"356,339"
No,Integrated Care Board,"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",60.1,57.6,62.6,57.5,55,60.1,863,"536,246"
Do not know,Integrated Care Board,"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",[c],[c],[c],[c],[c],[c],[c],[c]
Prefer not to say,Integrated Care Board,"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",[w],[w],[w],[w],[w],[w],[w],[w]
Yes,Integrated Care Board,"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",34.3,32.5,36.1,36,34.2,37.8,"1,070","542,975"
No,Integrated Care Board,"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",65.7,63.9,67.4,63.9,62.2,65.7,"1,724","1,039,634"
Do not know,Integrated Care Board,"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",[c],[c],[c],[c],[c],[c],[c],[c]
Prefer not to say,Integrated Care Board,"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",[c],[c],[c],[c],[c],[c],[c],[c]
Yes,Integrated Care Board,NHS Cambridgeshire and Peterborough Integrated Care Board,39,36.6,41.3,37.8,35.5,40.2,687,"318,704"
No,Integrated Care Board,NHS Cambridgeshire and Peterborough Integrated Care Board,61,58.6,63.3,62.1,59.8,64.4,996,"498,665"
Do not know,Integrated Care Board,NHS Cambridgeshire and Peterborough Integrated Care Board,[c],[c],[c],[c],[c],[c],[c],[c]
Prefer not to say,Integrated Care Board,NHS Cambridgeshire and Peterborough Integrated Care Board,[w],[w],[w],[w],[w],[w],[w],[w]
Yes,Integrated Care Board,NHS Cheshire and Merseyside Integrated Care Board,34.7,33.2,36.2,34.9,33.4,36.5,"1,497","851,638"
No,Integrated Care Board,NHS Cheshire and Merseyside Integrated Care Board,65.3,63.7,66.8,65,63.5,66.5,"2,237","1,602,718"
Do not know,Integrated Care Board,NHS Cheshire and Merseyside Integrated Care Board,[c],[c],[c],[c],[c],[c],[c],[c]
Prefer not to say,Integrated Care Board,NHS Cheshire and Merseyside Integrated Care Board,[w],[w],[w],[w],[w],[w],[w],[w]
Yes,Integrated Care Board,NHS Cornwall and the Isles of Scilly Integrated Care Board,38.9,35.9,41.8,40.1,37.1,43.1,424,"182,876"
No,Integrated Care Board,NHS Cornwall and the Isles of Scilly Integrated Care Board,61.1,58.2,64.1,59.9,56.9,62.9,603,"287,822"
Do not know,Integrated Care Board,NHS Cornwall and the Isles of Scilly Integrated Care Board,[w],[w],[w],[w],[w],[w],[w],[w]
Prefer not to say,Integrated Care Board,NHS Cornwall and the Isles of Scilly Integrated Care Board,[w],[w],[w],[w],[w],[w],[w],[w]
Yes,Integrated Care Board,NHS Coventry and Warwickshire Integrated Care Board,42.2,39.6,44.9,37.5,34.9,40.1,570,"381,662"
No,Integrated Care Board,NHS Coventry and Warwickshire Integrated Care Board,57.7,55.1,60.4,62.4,59.8,65,759,"522,019"
Do not know,Integrated Care Board,NHS Coventry and Warwickshire Integrated Care Board,[c],[c],[c],[c],[c],[c],[c],[c]
Prefer not to say,Integrated Care Board,NHS Coventry and Warwickshire Integrated Care Board,[w],[w],[w],[w],[w],[w],[w],[w]
Yes,Integrated Care Board,NHS Derby and Derbyshire Integrated Care Board,39,36.8,41.1,43,40.8,45.2,766,"390,912"
No,Integrated Care Board,NHS Derby and Derbyshire Integrated Care Board,61,58.8,63.2,57,54.8,59.2,"1,175","611,777"
Do not know,Integrated Care Board,NHS Derby and Derbyshire Integrated Care Board,[c],[c],[c],[c],[c],[c],[c],[c]
Prefer not to say,Integrated Care Board,NHS Derby and Derbyshire Integrated Care Board,[w],[w],[w],[w],[w],[w],[w],[w]
Yes,Integrated Care Board,NHS Devon Integrated Care Board,38.7,36.7,40.7,37.2,35.2,39.2,931,"415,184"
No,Integrated Care Board,NHS Devon Integrated Care Board,61.3,59.2,63.3,62.7,60.7,64.7,"1,294","657,378"
Do not know,Integrated Care Board,NHS Devon Integrated Care Board,[c],[c],[c],[c],[c],[c],[c],[c]
Prefer not to say,Integrated Care Board,NHS Devon Integrated Care Board,[w],[w],[w],[w],[w],[w],[w],[w]
Yes,Integrated Care Board,NHS Dorset Integrated Care Board,33.7,31.3,36.1,33.4,31,35.7,623,"192,265"
No,Integrated Care Board,NHS Dorset Integrated Care Board,66.2,63.9,68.6,66.6,64.2,68.9,915,"377,937"
Do not know,Integrated Care Board,NHS Dorset Integrated Care Board,[c],[c],[c],[c],[c],[c],[c],[c]
Prefer not to say,Integrated Care Board,NHS Dorset Integrated Care Board,[c],[c],[c],[c],[c],[c],[c],[c]
Yes,Integrated Care Board,NHS Frimley Integrated Care Board,30.3,27.6,33,31.3,28.6,34,409,"164,879"
No,Integrated Care Board,NHS Frimley Integrated Care Board,69.7,67,72.4,68.7,66,71.4,706,"379,101"
Do not know,Integrated Care Board,NHS Frimley Integrated Care Board,[w],[w],[w],[w],[w],[w],[w],[w]
Prefer not to say,Integrated Care Board,NHS Frimley Integrated Care Board,[w],[w],[w],[w],[w],[w],[w],[w]
Yes,Integrated Care Board,NHS Gloucestershire Integrated Care Board,42,39.1,44.9,38.6,35.8,41.4,460,"216,507"
No,Integrated Care Board,NHS Gloucestershire Integrated Care Board,57.9,55.1,60.8,61.3,58.5,64.2,686,"298,708"
Do not know,Integrated Care Board,NHS Gloucestershire Integrated Care Board,[w],[w],[w],[w],[w],[w],[w],[w]
Prefer not to say,Integrated Care Board,NHS Gloucestershire Integrated Care Board,[c],[c],[c],[c],[c],[c],[c],[c]
Yes,Integrated Care Board,NHS Greater Manchester Integrated Care Board,41.2,39.6,42.7,42.7,41.1,44.2,"1,687","762,834"
No,Integrated Care Board,NHS Greater Manchester Integrated Care Board,58.2,56.7,59.8,56.8,55.3,58.3,"2,270","1,079,413"
Do not know,Integrated Care Board,NHS Greater Manchester Integrated Care Board,0.6,0.4,0.8,0.5,0.3,0.7,4,"10,987"
Prefer not to say,Integrated Care Board,NHS Greater Manchester Integrated Care Board,[c],[c],[c],[c],[c],[c],[c],[c]
Yes,Integrated Care Board,NHS Hampshire and Isle of Wight Integrated Care Board,36.4,34.8,38,37.8,36.2,39.4,"1,334","596,128"
No,Integrated Care Board,NHS Hampshire and Isle of Wight Integrated Care Board,63.2,61.6,64.8,61,59.4,62.7,"2,019","1,035,227"
Do not know,Integrated Care Board,NHS Hampshire and Isle of Wight Integrated Care Board,0.4,0.2,0.6,1.1,0.8,1.5,3,"6,507"
Prefer not to say,Integrated Care Board,NHS Hampshire and Isle of Wight Integrated Care Board,[c],[c],[c],[c],[c],[c],[c],[c]
Yes,Integrated Care Board,NHS Herefordshire and Worcestershire Integrated Care Board,47.3,44.8,49.8,49.6,47.2,52.1,753,"462,750"
No,Integrated Care Board,NHS Herefordshire and Worcestershire Integrated Care Board,51.8,49.4,54.3,49.5,47,51.9,828,"507,337"
Do not know,Integrated Care Board,NHS Herefordshire and Worcestershire Integrated Care Board,0.9,0.4,1.3,0.9,0.4,1.4,3,"8,415"
Prefer not to say,Integrated Care Board,NHS Herefordshire and Worcestershire Integrated Care Board,[w],[w],[w],[w],[w],[w],[w],[w]
Yes,Integrated Care Board,NHS Hertfordshire and West Essex Integrated Care Board,35.6,33.7,37.6,34.9,33,36.9,958,"382,752"
No,Integrated Care Board,NHS Hertfordshire and West Essex Integrated Care Board,64.2,62.3,66.2,64.9,63,66.8,"1,382","690,137"
Do not know,Integrated Care Board,NHS Hertfordshire and West Essex Integrated Care Board,0.1,0,0.3,0.2,0,0.3,3,"1,328"
Prefer not to say,Integrated Care Board,NHS Hertfordshire and West Essex Integrated Care Board,[w],[w],[w],[w],[w],[w],[w],[w]
Yes,Integrated Care Board,NHS Humber and North Yorkshire Integrated Care Board,38.3,36.6,40,39,37.3,40.7,"1,385","660,492"
No,Integrated Care Board,NHS Humber and North Yorkshire Integrated Care Board,61.6,59.9,63.3,61,59.3,62.7,"1,787","1,061,741"
Do not know,Integrated Care Board,NHS Humber and North Yorkshire Integrated Care Board,[c],[c],[c],[c],[c],[c],[c],[c]
Prefer not to say,Integrated Care Board,NHS Humber and North Yorkshire Integrated Care Board,[c],[c],[c],[c],[c],[c],[c],[c]
Yes,Integrated Care Board,NHS Kent and Medway Integrated Care Board,38.4,36.6,40.2,39.6,37.8,41.4,"1,170","491,655"
No,Integrated Care Board,NHS Kent and Medway Integrated Care Board,61.6,59.8,63.4,60.4,58.6,62.2,"1,642","787,895"
Do not know,Integrated Care Board,NHS Kent and Medway Integrated Care Board,[w],[w],[w],[w],[w],[w],[w],[w]
Prefer not to say,Integrated Care Board,NHS Kent and Medway Integrated Care Board,[w],[w],[w],[w],[w],[w],[w],[w]
Yes,Integrated Care Board,NHS Lancashire and South Cumbria Integrated Care Board,37.8,36,39.6,38.2,36.4,40.1,"1,108","556,335"
No,Integrated Care Board,NHS Lancashire and South Cumbria Integrated Care Board,62.1,60.3,64,61.7,59.9,63.5,"1,573","914,472"
Do not know,Integrated Care Board,NHS Lancashire and South Cumbria Integrated Care Board,[c],[c],[c],[c],[c],[c],[c],[c]
Prefer not to say,Integrated Care Board,NHS Lancashire and South Cumbria Integrated Care Board,[w],[w],[w],[w],[w],[w],[w],[w]
Yes,Integrated Care Board,"NHS Leicester, Leicestershire and Rutland Integrated Care Board",41.4,38.9,44,41.2,38.7,43.7,627,"356,364"
No,Integrated Care Board,"NHS Leicester, Leicestershire and Rutland Integrated Care Board",58.4,55.9,60.9,58.6,56.1,61.1,842,"502,211"
Do not know,Integrated Care Board,"NHS Leicester, Leicestershire and Rutland Integrated Care Board",0.2,0,0.4,0.1,0,0.3,3,"1,309"
Prefer not to say,Integrated Care Board,"NHS Leicester, Leicestershire and Rutland Integrated Care Board",[w],[w],[w],[w],[w],[w],[w],[w]
Yes,Integrated Care Board,NHS Lincolnshire Integrated Care Board,44.9,42.2,47.5,45.8,43.2,48.5,602,"302,091"
No,Integrated Care Board,NHS Lincolnshire Integrated Care Board,55.1,52.5,57.7,54.1,51.5,56.8,780,"371,173"
Do not know,Integrated Care Board,NHS Lincolnshire Integrated Care Board,[w],[w],[w],[w],[w],[w],[w],[w]
Prefer not to say,Integrated Care Board,NHS Lincolnshire Integrated Care Board,[c],[c],[c],[c],[c],[c],[c],[c]
Yes,Integrated Care Board,NHS Mid and South Essex Integrated Care Board,38.8,36.6,41.1,39.6,37.3,41.8,785,"330,932"
No,Integrated Care Board,NHS Mid and South Essex Integrated Care Board,61.1,58.9,63.4,60.4,58.2,62.7,"1,048","520,817"
Do not know,Integrated Care Board,NHS Mid and South Essex Integrated Care Board,[c],[c],[c],[c],[c],[c],[c],[c]
Prefer not to say,Integrated Care Board,NHS Mid and South Essex Integrated Care Board,[w],[w],[w],[w],[w],[w],[w],[w]
Yes,Integrated Care Board,NHS Norfolk and Waveney Integrated Care Board,38.2,36.2,40.3,40.6,38.5,42.7,908,"359,214"
No,Integrated Care Board,NHS Norfolk and Waveney Integrated Care Board,61.7,59.6,63.8,59.3,57.2,61.4,"1,244","579,954"
Do not know,Integrated Care Board,NHS Norfolk and Waveney Integrated Care Board,[c],[c],[c],[c],[c],[c],[c],[c]
Prefer not to say,Integrated Care Board,NHS Norfolk and Waveney Integrated Care Board,[c],[c],[c],[c],[c],[c],[c],[c]
Yes,Integrated Care Board,NHS North Central London Integrated Care Board,39.4,37.3,41.4,39.9,37.9,42,928,"403,916"
No,Integrated Care Board,NHS North Central London Integrated Care Board,60.5,58.5,62.5,60,57.9,62,"1,311","620,921"
Do not know,Integrated Care Board,NHS North Central London Integrated Care Board,[c],[c],[c],[c],[c],[c],[c],[c]
Prefer not to say,Integrated Care Board,NHS North Central London Integrated Care Board,[c],[c],[c],[c],[c],[c],[c],[c]
Yes,Integrated Care Board,NHS North East London Integrated Care Board,39.1,37,41.1,38.9,36.9,41,936,"474,674"
No,Integrated Care Board,NHS North East London Integrated Care Board,60.8,58.8,62.9,61,58.9,63,"1,260","739,523"
Do not know,Integrated Care Board,NHS North East London Integrated Care Board,[c],[c],[c],[c],[c],[c],[c],[c]
Prefer not to say,Integrated Care Board,NHS North East London Integrated Care Board,[c],[c],[c],[c],[c],[c],[c],[c]
Yes,Integrated Care Board,NHS North East and North Cumbria Integrated Care Board,36.7,35.3,38,36.8,35.4,38.1,"2,044","919,178"
No,Integrated Care Board,NHS North East and North Cumbria Integrated Care Board,62.9,61.5,64.3,62.7,61.3,64.1,"2,766","1,576,649"
Do not know,Integrated Care Board,NHS North East and North Cumbria Integrated Care Board,0.3,0.1,0.4,0.4,0.2,0.6,7,"6,384"
Prefer not to say,Integrated Care Board,NHS North East and North Cumbria Integrated Care Board,0.2,0.1,0.3,0.1,0,0.2,5,"4,621"
Yes,Integrated Care Board,NHS North West London Integrated Care Board,35.2,33.4,37.1,36.6,34.7,38.4,"1,067","445,022"
No,Integrated Care Board,NHS North West London Integrated Care Board,64.6,62.8,66.5,63.3,61.5,65.2,"1,534","816,195"
Do not know,Integrated Care Board,NHS North West London Integrated Care Board,[c],[c],[c],[c],[c],[c],[c],[c]
Prefer not to say,Integrated Care Board,NHS North West London Integrated Care Board,[w],[w],[w],[w],[w],[w],[w],[w]
Yes,Integrated Care Board,NHS Northamptonshire Integrated Care Board,40.9,37.7,44,39.9,36.8,43,380,"240,600"
No,Integrated Care Board,NHS Northamptonshire Integrated Care Board,58.9,55.8,62,59.8,56.7,62.9,581,"346,753"
Do not know,Integrated Care Board,NHS Northamptonshire Integrated Care Board,[c],[c],[c],[c],[c],[c],[c],[c]
Prefer not to say,Integrated Care Board,NHS Northamptonshire Integrated Care Board,[w],[w],[w],[w],[w],[w],[w],[w]
Yes,Integrated Care Board,NHS Nottingham and Nottinghamshire Integrated Care Board,42.8,40.3,45.3,43.1,40.6,45.5,679,"400,077"
No,Integrated Care Board,NHS Nottingham and Nottinghamshire Integrated Care Board,57.2,54.7,59.7,56.9,54.5,59.4,838,"534,134"
Do not know,Integrated Care Board,NHS Nottingham and Nottinghamshire Integrated Care Board,[w],[w],[w],[w],[w],[w],[w],[w]
Prefer not to say,Integrated Care Board,NHS Nottingham and Nottinghamshire Integrated Care Board,[w],[w],[w],[w],[w],[w],[w],[w]
Yes,Integrated Care Board,"NHS Shropshire, Telford and Wrekin Integrated Care Board",45.8,42.6,49,40.8,37.7,43.9,425,"257,531"
No,Integrated Care Board,"NHS Shropshire, Telford and Wrekin Integrated Care Board",54,50.8,57.2,59.1,55.9,62.2,521,"303,893"
Do not know,Integrated Care Board,"NHS Shropshire, Telford and Wrekin Integrated Care Board",[w],[w],[w],[w],[w],[w],[w],[w]
Prefer not to say,Integrated Care Board,"NHS Shropshire, Telford and Wrekin Integrated Care Board",[c],[c],[c],[c],[c],[c],[c],[c]
Yes,Integrated Care Board,NHS Somerset Integrated Care Board,37.3,34.5,40,34.4,31.7,37.1,491,"187,157"
No,Integrated Care Board,NHS Somerset Integrated Care Board,62.7,59.9,65.5,65.6,62.9,68.3,672,"314,929"
Do not know,Integrated Care Board,NHS Somerset Integrated Care Board,[w],[w],[w],[w],[w],[w],[w],[w]
Prefer not to say,Integrated Care Board,NHS Somerset Integrated Care Board,[c],[c],[c],[c],[c],[c],[c],[c]
Yes,Integrated Care Board,NHS South East London Integrated Care Board,36.9,35.3,38.6,38.5,36.9,40.2,"1,351","663,922"
No,Integrated Care Board,NHS South East London Integrated Care Board,63,61.4,64.7,61.4,59.8,63.1,"1,969","1,133,342"
Do not know,Integrated Care Board,NHS South East London Integrated Care Board,[c],[c],[c],[c],[c],[c],[c],[c]
Prefer not to say,Integrated Care Board,NHS South East London Integrated Care Board,[c],[c],[c],[c],[c],[c],[c],[c]
Yes,Integrated Care Board,NHS South West London Integrated Care Board,37.4,35.8,39.1,39.2,37.5,40.8,"1,403","609,710"
No,Integrated Care Board,NHS South West London Integrated Care Board,62.5,60.8,64.1,60.7,59.1,62.4,"1,941","1,017,558"
Do not know,Integrated Care Board,NHS South West London Integrated Care Board,0.1,0,0.2,0.1,0,0.2,3,"1,138"
Prefer not to say,Integrated Care Board,NHS South West London Integrated Care Board,[c],[c],[c],[c],[c],[c],[c],[c]
Yes,Integrated Care Board,NHS South Yorkshire Integrated Care Board,45.8,43.5,48.1,47.1,44.8,49.3,839,"449,668"
No,Integrated Care Board,NHS South Yorkshire Integrated Care Board,54.2,51.9,56.4,52.9,50.6,55.2,"1,004","531,671"
Do not know,Integrated Care Board,NHS South Yorkshire Integrated Care Board,[w],[w],[w],[w],[w],[w],[w],[w]
Prefer not to say,Integrated Care Board,NHS South Yorkshire Integrated Care Board,[c],[c],[c],[c],[c],[c],[c],[c]
Yes,Integrated Care Board,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,40.8,38.4,43.3,40,37.6,42.4,681,"427,617"
No,Integrated Care Board,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,58.5,56.1,60.9,59.2,56.8,61.7,893,"612,704"
Do not know,Integrated Care Board,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,0.7,0.3,1.1,0.7,0.3,1.1,3,"7,156"
Prefer not to say,Integrated Care Board,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,[w],[w],[w],[w],[w],[w],[w],[w]
Yes,Integrated Care Board,NHS Suffolk and North East Essex Integrated Care Board,34.1,32,36.1,33.7,31.6,35.7,861,"296,434"
No,Integrated Care Board,NHS Suffolk and North East Essex Integrated Care Board,65.6,63.6,67.7,65.9,63.8,67.9,"1,208","571,322"
Do not know,Integrated Care Board,NHS Suffolk and North East Essex Integrated Care Board,[c],[c],[c],[c],[c],[c],[c],[c]
Prefer not to say,Integrated Care Board,NHS Suffolk and North East Essex Integrated Care Board,[c],[c],[c],[c],[c],[c],[c],[c]
Yes,Integrated Care Board,NHS Surrey Heartlands Integrated Care Board,43.7,41.3,46,41.2,38.9,43.5,772,"357,479"
No,Integrated Care Board,NHS Surrey Heartlands Integrated Care Board,56.3,54,58.7,58.8,56.5,61.1,969,"461,021"
Do not know,Integrated Care Board,NHS Surrey Heartlands Integrated Care Board,[w],[w],[w],[w],[w],[w],[w],[w]
Prefer not to say,Integrated Care Board,NHS Surrey Heartlands Integrated Care Board,[w],[w],[w],[w],[w],[w],[w],[w]
Yes,Integrated Care Board,NHS Sussex Integrated Care Board,37.6,35.9,39.3,37.2,35.5,39,"1,223","565,123"
No,Integrated Care Board,NHS Sussex Integrated Care Board,62.3,60.6,64.1,62.7,61,64.4,"1,753","937,148"
Do not know,Integrated Care Board,NHS Sussex Integrated Care Board,[c],[c],[c],[c],[c],[c],[c],[c]
Prefer not to say,Integrated Care Board,NHS Sussex Integrated Care Board,[c],[c],[c],[c],[c],[c],[c],[c]
Yes,Integrated Care Board,NHS West Yorkshire Integrated Care Board,38.5,36.9,40.1,38,36.5,39.6,"1,505","678,359"
No,Integrated Care Board,NHS West Yorkshire Integrated Care Board,61.5,59.9,63.1,61.9,60.3,63.5,"2,084","1,083,838"
Do not know,Integrated Care Board,NHS West Yorkshire Integrated Care Board,[c],[c],[c],[c],[c],[c],[c],[c]
Prefer not to say,Integrated Care Board,NHS West Yorkshire Integrated Care Board,[c],[c],[c],[c],[c],[c],[c],[c]
Yes,Long Covid Status,Reports having Long Covid,55.2,53.6,56.8,53.7,52.1,55.3,"2,110","964,794"
No,Long Covid Status,Reports having Long Covid,44.1,42.4,45.7,45.6,44,47.3,"1,515","769,821"
Do not know,Long Covid Status,Reports having Long Covid,0.7,0.5,1,0.6,0.4,0.9,13,"12,730"
Prefer not to say,Long Covid Status,Reports having Long Covid,[c],[c],[c],[c],[c],[c],[c],[c]
Yes,Long Covid Status,Does not report having Long Covid,37.8,37.5,38.2,38.4,38.1,38.7,"35,212","16,801,243"
No,Long Covid Status,Does not report having Long Covid,62,61.7,62.3,61.5,61.1,61.8,"50,455","27,533,480"
Do not know,Long Covid Status,Does not report having Long Covid,0.1,0.1,0.1,0.1,0.1,0.1,51,"46,196"
Prefer not to say,Long Covid Status,Does not report having Long Covid,[low],0,[low],[low],0,[low],30,"13,913"
Yes,Employment Status [note 6],In Employment,39.2,38.7,39.7,39.5,39,40,"15,332","10,480,968"
No,Employment Status [note 6],In Employment,60.6,60.1,61.1,60.4,59.9,60.9,"21,864","16,196,771"
Do not know,Employment Status [note 6],In Employment,0.1,0.1,0.1,0.1,0.1,0.2,24,"23,605"
Prefer not to say,Employment Status [note 6],In Employment,[low],0,[low],[low],0,[low],12,"5,657"
Yes,Employment Status [note 6],In Education,20,17,23,43.2,39.5,46.8,175,"851,689"
No,Employment Status [note 6],In Education,79.5,76.5,82.5,56.6,53,60.3,518,"3,387,063"
Do not know,Employment Status [note 6],In Education,0.5,0,1.1,0.2,0,0.5,4,"22,528"
Prefer not to say,Employment Status [note 6],In Education,[w],[w],[w],[w],[w],[w],[w],[w]
Yes,Employment Status [note 6],Unemployed,29.3,25.8,32.9,37.3,33.5,41,271,"205,445"
No,Employment Status [note 6],Unemployed,70.7,67.1,74.2,62.7,59,66.5,361,"495,022"
Do not know,Employment Status [note 6],Unemployed,[w],[w],[w],[w],[w],[w],[w],[w]
Prefer not to say,Employment Status [note 6],Unemployed,[w],[w],[w],[w],[w],[w],[w],[w]
Yes,Employment Status [note 6],Economically Inactive,43,42.6,43.5,48,47.6,48.5,"21,543","6,227,578"
No,Employment Status [note 6],Economically Inactive,56.8,56.4,57.3,51.7,51.3,52.1,"29,222","8,222,923"
Do not know,Employment Status [note 6],Economically Inactive,0.1,0.1,0.1,0.2,0.1,0.2,36,"12,794"
Prefer not to say,Employment Status [note 6],Economically Inactive,0.1,0,0.1,0.1,0.1,0.1,20,"8,516"
Yes,Employment Status: detailed [note 6],Employee,39.2,38.6,39.7,39.2,38.7,39.7,"12,933","9,387,270"
No,Employment Status: detailed [note 6],Employee,60.7,60.2,61.3,60.7,60.1,61.2,"18,518","14,565,828"
Do not know,Employment Status: detailed [note 6],Employee,0.1,0,0.1,0.1,0.1,0.1,17,"18,451"
Prefer not to say,Employment Status: detailed [note 6],Employee,[low],0,[low],[low],0,[low],11,"5,375"
Yes,Employment Status: detailed [note 6],Self-Employed,40.1,38.8,41.3,41,39.8,42.3,"2,399","1,093,698"
No,Employment Status: detailed [note 6],Self-Employed,59.7,58.5,61,58.8,57.5,60,"3,346","1,630,943"
Do not know,Employment Status: detailed [note 6],Self-Employed,0.2,0.1,0.3,0.2,0.1,0.3,7,"5,153"
Prefer not to say,Employment Status: detailed [note 6],Self-Employed,[c],[c],[c],[c],[c],[c],[c],[c]
Yes,Employment Status: detailed [note 6],In Education - College or Apprenticeship,17.9,13.7,22,39.1,33.8,44.4,62,"413,246"
No,Employment Status: detailed [note 6],In Education - College or Apprenticeship,81.6,77.3,85.8,60.8,55.5,66.1,262,"1,885,491"
Do not know,Employment Status: detailed [note 6],In Education - College or Apprenticeship,[c],[c],[c],[c],[c],[c],[c],[c]
Prefer not to say,Employment Status: detailed [note 6],In Education - College or Apprenticeship,[w],[w],[w],[w],[w],[w],[w],[w]
Yes,Employment Status: detailed [note 6],In Education - University,30.1,24.5,35.8,42.4,36.3,48.5,98,"333,954"
No,Employment Status: detailed [note 6],In Education - University,69,63.3,74.7,57.4,51.3,63.5,153,"764,459"
Do not know,Employment Status: detailed [note 6],In Education - University,[c],[c],[c],[c],[c],[c],[c],[c]
Prefer not to say,Employment Status: detailed [note 6],In Education - University,[w],[w],[w],[w],[w],[w],[w],[w]
Yes,Employment Status: detailed [note 6],Unemployed,29.3,25.8,32.9,37.3,33.5,41,271,"205,445"
No,Employment Status: detailed [note 6],Unemployed,70.7,67.1,74.2,62.7,59,66.5,361,"495,022"
Do not know,Employment Status: detailed [note 6],Unemployed,[w],[w],[w],[w],[w],[w],[w],[w]
Prefer not to say,Employment Status: detailed [note 6],Unemployed,[w],[w],[w],[w],[w],[w],[w],[w]
Yes,Employment Status: detailed [note 6],Economically Inactive - Long-Term Sick,55.9,53.4,58.4,56.6,54.1,59.1,970,"554,580"
No,Employment Status: detailed [note 6],Economically Inactive - Long-Term Sick,43.1,40.6,45.6,42.7,40.2,45.1,540,"427,146"
Do not know,Employment Status: detailed [note 6],Economically Inactive - Long-Term Sick,0.5,0.2,0.9,0.4,0.1,0.7,10,"5,040"
Prefer not to say,Employment Status: detailed [note 6],Economically Inactive - Long-Term Sick,0.5,0.1,0.8,0.3,0,0.6,4,"4,633"
Yes,Employment Status: detailed [note 6],Economically Inactive - Looking After Family or Home or doesn't want work,51.5,49.5,53.4,52.9,51,54.9,"1,201","619,601"
No,Employment Status: detailed [note 6],Economically Inactive - Looking After Family or Home or doesn't want work,48.5,46.5,50.5,47,45.1,49,"1,264","583,684"
Do not know,Employment Status: detailed [note 6],Economically Inactive - Looking After Family or Home or doesn't want work,[c],[c],[c],[c],[c],[c],[c],[c]
Prefer not to say,Employment Status: detailed [note 6],Economically Inactive - Looking After Family or Home or doesn't want work,[w],[w],[w],[w],[w],[w],[w],[w]
Yes,Employment Status: detailed [note 6],Economically Inactive - Retired,41.2,40.7,41.6,32.7,32.2,33.1,"19,372","5,053,397"
No,Employment Status: detailed [note 6],Economically Inactive - Retired,58.7,58.3,59.2,67.3,66.9,67.7,"27,418","7,212,094"
